2026-06-26 13:53:21.956 INFO  [main] loteId=66 o.t.p.t.i.a.MistralClientAdapter - Lote 66 traduzido em 404 ms (2 -> 2 linha(s))
2026-06-26 13:53:22.802 INFO  [main] loteId=66 o.t.p.t.i.a.MistralClientAdapter - Lote 66 traduzido em 841 ms (10 -> 9 linha(s))
2026-06-26 13:53:22.803 WARN  [main] loteId=66 o.t.p.t.a.ProcessarEpisodioUseCase - Lote 66 (tamanho 10) falhou na validação (Lote 66 retornou 9 linha(s), esperado 10. Provável alucinação do LLM fundindo ou quebrando falas, o que desalinharia a legenda.). Dividindo em 2 partes e tentando novamente...
2026-06-26 13:53:22.803 WARN  [main] loteId=66 o.t.p.t.p.ui.ConsoleUILogger - [ WARN ] Lote 66 dividido após falha de validação: Lote 66 retornou 9 linha(s), esperado 10. Provável alucinação do LLM fundindo ou quebrando falas, o que desalinharia a legenda.
2026-06-26 13:53:23.165 INFO  [main] loteId=66 o.t.p.t.i.a.MistralClientAdapter - Lote 66 traduzido em 360 ms (5 -> 5 linha(s))
2026-06-26 13:53:23.381 INFO  [main] loteId=66 o.t.p.t.i.a.MistralClientAdapter - Lote 66 traduzido em 216 ms (5 -> 1 linha(s))
2026-06-26 13:53:23.381 WARN  [main] loteId=66 o.t.p.t.a.ProcessarEpisodioUseCase - Lote 66 (tamanho 5) falhou na validação (Lote 66 retornou 1 linha(s), esperado 5. Provável alucinação do LLM fundindo ou quebrando falas, o que desalinharia a legenda.). Dividindo em 2 partes e tentando novamente...
2026-06-26 13:53:23.381 WARN  [main] loteId=66 o.t.p.t.p.ui.ConsoleUILogger - [ WARN ] Lote 66 dividido após falha de validação: Lote 66 retornou 1 linha(s), esperado 5. Provável alucinação do LLM fundindo ou quebrando falas, o que desalinharia a legenda.
2026-06-26 13:53:23.492 INFO  [main] loteId=66 o.t.p.t.i.a.MistralClientAdapter - Lote 66 traduzido em 111 ms (2 -> 1 linha(s))
2026-06-26 13:53:23.492 WARN  [main] loteId=66 o.t.p.t.a.ProcessarEpisodioUseCase - Lote 66 (tamanho 2) falhou na validação (Lote 66 retornou 1 linha(s), esperado 2. Provável alucinação do LLM fundindo ou quebrando falas, o que desalinharia a legenda.). Dividindo em 2 partes e tentando novamente...
2026-06-26 13:53:23.492 WARN  [main] loteId=66 o.t.p.t.p.ui.ConsoleUILogger - [ WARN ] Lote 66 dividido após falha de validação: Lote 66 retornou 1 linha(s), esperado 2. Provável alucinação do LLM fundindo ou quebrando falas, o que desalinharia a legenda.
2026-06-26 13:53:23.812 INFO  [main] loteId=66 o.t.p.t.i.a.MistralClientAdapter - Lote 66 traduzido em 320 ms (1 -> 1 linha(s))
2026-06-26 13:53:24.093 INFO  [main] loteId=66 o.t.p.t.i.a.MistralClientAdapter - Lote 66 traduzido em 281 ms (1 -> 1 linha(s))
2026-06-26 13:53:24.330 INFO  [main] loteId=66 o.t.p.t.i.a.MistralClientAdapter - Lote 66 traduzido em 237 ms (3 -> 1 linha(s))
2026-06-26 13:53:24.330 WARN  [main] loteId=66 o.t.p.t.a.ProcessarEpisodioUseCase - Lote 66 (tamanho 3) falhou na validação (Lote 66 retornou 1 linha(s), esperado 3. Provável alucinação do LLM fundindo ou quebrando falas, o que desalinharia a legenda.). Dividindo em 2 partes e tentando novamente...
2026-06-26 13:53:24.330 WARN  [main] loteId=66 o.t.p.t.p.ui.ConsoleUILogger - [ WARN ] Lote 66 dividido após falha de validação: Lote 66 retornou 1 linha(s), esperado 3. Provável alucinação do LLM fundindo ou quebrando falas, o que desalinharia a legenda.
2026-06-26 13:53:24.644 INFO  [main] loteId=66 o.t.p.t.i.a.MistralClientAdapter - Lote 66 traduzido em 314 ms (1 -> 1 linha(s))
2026-06-26 13:53:24.863 INFO  [main] loteId=66 o.t.p.t.i.a.MistralClientAdapter - Lote 66 traduzido em 217 ms (2 -> 1 linha(s))
2026-06-26 13:53:24.863 WARN  [main] loteId=66 o.t.p.t.a.ProcessarEpisodioUseCase - Lote 66 (tamanho 2) falhou na validação (Lote 66 retornou 1 linha(s), esperado 2. Provável alucinação do LLM fundindo ou quebrando falas, o que desalinharia a legenda.). Dividindo em 2 partes e tentando novamente...
2026-06-26 13:53:24.863 WARN  [main] loteId=66 o.t.p.t.p.ui.ConsoleUILogger - [ WARN ] Lote 66 dividido após falha de validação: Lote 66 retornou 1 linha(s), esperado 2. Provável alucinação do LLM fundindo ou quebrando falas, o que desalinharia a legenda.
2026-06-26 13:53:25.158 INFO  [main] loteId=66 o.t.p.t.i.a.MistralClientAdapter - Lote 66 traduzido em 295 ms (1 -> 1 linha(s))
2026-06-26 13:53:25.437 INFO  [main] loteId=66 o.t.p.t.i.a.MistralClientAdapter - Lote 66 traduzido em 279 ms (1 -> 1 linha(s))
2026-06-26 13:53:25.437 INFO  [main] loteId=66 o.t.p.t.p.ui.ConsoleUILogger - ✅ Lote 66 traduzido com sucesso.
2026-06-26 13:53:25.718 INFO  [main] loteId=67 o.t.p.t.i.a.MistralClientAdapter - Lote 67 traduzido em 281 ms (20 -> 1 linha(s))
2026-06-26 13:53:25.718 WARN  [main] loteId=67 o.t.p.t.a.ProcessarEpisodioUseCase - Lote 67 (tamanho 20) falhou na validação (Lote 67 retornou 1 linha(s), esperado 20. Provável alucinação do LLM fundindo ou quebrando falas, o que desalinharia a legenda.). Dividindo em 2 partes e tentando novamente...
